school,latitude,longitude,pct_over_obese
Elizabethtown-Lewis Central School,44.2135,-73.5966,67
Greenport Union Free School,41.1004,-72.3697,63
Charlotte Valley Central School District,42.4702,-74.848,62
Fabius-Pompey Central School,42.8303,-75.9853,56
Hancock Central School District,41.955,-75.2785,55
Brentwood Union Free School,40.777,-73.2557,53
Salmon River Central School,44.961,-74.5185,53
Pulaski Central School,43.5706,-76.1359,53
Brasher Falls Cent Sch Dist,44.8016,-74.7647,52
Ellenville Central School,41.717,-74.3911,51
Hempstead Union Free School,40.7055,-73.6208,51
Uniondale Union Free School,40.7048,-73.5842,50
Newark Central School,43.0458,-77.0942,50
Phoenix Central School,43.2391,-76.3007,49
Port Byron Central School District,43.0403,-76.6192,49
Sodus Central School,43.2273,-77.0676,49
De Ruyter Central School,42.7587,-75.891,49
Franklin Central School District,42.3429,-75.1637,48
Edwards-Knox Central School,44.364,-75.2036,48
Sullivan West Csd,41.7781,-74.94,48
Hannibal Central School,43.3179,-76.5793,48
Heuvelton Central School,44.6217,-75.4088,48
Madrid Waddington Central School,44.7878,-75.1551,47
Saranac Central School,44.7135,-73.7224,47
Freeport Union Free School,40.6644,-73.5893,47
Massena Central School,44.9218,-74.898,47
Central Islip U F S,40.7939,-73.2053,47
St. Lawrence,44.689468,-75.242045,47
Amityville Union Free School,40.6773,-73.4184,47
Lake Shore Central School,42.65,-79.037,46
Clyde-Savannah Central School,43.0878,-76.8677,46
Stockbridge Valley Central School,42.9762,-75.6001,46
Rochester City Schools,43.154,-77.616,46
La Fargeville Central School,44.1944,-75.966,46
Jefferson,44.019295,-75.898971,46
Westbury Union Free Schools,40.7685,-73.5842,46
Norwich City School District,42.5268,-75.5163,45
Seneca,42.833627,-76.82753,45
Newfield Central School,42.3602,-76.5963,45
Moravia Central School District,42.7067,-76.4212,45
Port Chester-Rye U F S,41.0042,-73.6888,45
Alexandria Central Elem. & High Scho,44.3354,-75.9119,45
Schuyler,42.38593,-76.872032,45
Altmar Parish-Williamstown Central Sch Dist.,43.442,-76.0531,45
Dunkirk City School District,42.4779,-79.3417,45
Niagara Falls City Schools,43.0866,-78.9885,45
Prattsburg Central School,42.5143,-77.253,45
Hadley Luzerne Central School,43.3236,-73.8394,44
Fort Edward Union Free School,43.2737,-73.5869,44
Watervliet City School District,42.7321,-73.7165,44
Gowanda Central School District,42.4638,-78.9481,44
Copenhagen Central School,43.8454,-75.7143,44
Harrisville Central School,44.1025,-75.2963,44
Delaware,42.242972,-74.997944,44
Roosevelt Union Free School,40.6871,-73.582,44
Hoosick Falls Central School,42.8747,-73.3559,44
Perry Central School,42.7236,-78.003,44
Warsaw Central School,42.7403,-78.1382,44
Randolph Central School District,42.1726,-78.9476,43
Granville Central School,43.4019,-73.2662,43
Oswego City Schools,43.4568,-76.5077,43
Hudson City Schools,42.26,-73.7713,43
Northeast Central School District,41.8881,-73.5307,43
Beaver River Central School,43.8815,-75.4383,43
Glen Cove City Schools,40.879,-73.6301,43
Friendship Central School District,42.2066,-78.137,43
Lyons Central School,43.064,-76.986,43
Lansingburgh Cent Sch At Troy,42.7742,-73.6739,43
Hammondsport Central School,42.4033,-77.2228,43
Afton Central School District,42.2305,-75.5277,43
Otego-Unadilla Central School District,42.3705,-75.2243,43
Colton Pierrept Cent Sch,44.5586,-74.9477,42
Northern Adirondack Central School,44.8607,-73.7854,42
Tupper Lake Central School,44.2221,-74.4438,42
Herkimer Central School,43.0238,-75.0015,42
Avoca Central School,42.4108,-77.4174,42
Kingston City Schools,41.9343,-74.0217,42
Sullivan,41.705166,-74.711705,42
Weedsport Central School District,43.0473,-76.5543,42
Lewis,43.785537,-75.446296,42
Sherrill City Schools,43.1171,-75.5682,42
Mohawk Central School,43.0082,-75.0079,42
Monticello Central School,41.6418,-74.7061,42
Green Island Union Free School District,42.7462,-73.6906,42
Oswego,43.39123,-76.31133,42
Kendall Central School,43.3222,-78.0364,42
La Fayette Central School,42.8931,-76.1133,42
Deposit Central School District,42.0658,-75.4192,42
St Regis Falls Central School,44.6793,-74.5462,42
Clinton,44.731944,-73.548883,42
Scio Central School District,42.1728,-77.9777,41
Oswego,43.39123,-76.31133,41
Belfast Central School District,42.3405,-78.1168,41
Cairo-Durham Central School,42.2983,-73.9975,41
East Ramapo Central School,41.1031,-74.0485,41
Copiague Union Free School,40.6889,-73.4029,41
Franklin,44.705699,-74.340621,41
Menands Union Free School District,42.6845,-73.7341,41
Ellicottville Central School District,42.2537,-78.6504,41
Medina Central School,43.2083,-78.3911,41
Bridgehampton U F S,40.9389,-72.2954,41
Hyde Park Central School District,41.7891,-73.9337,41
Hermon Dekalb Central School,44.4835,-75.3037,41
Pavilion Central School,42.8732,-78.0192,41
East Hampton Union Free School,40.9679,-72.1691,41
Marathon Central School District,42.4418,-76.0327,41
Frankfort Schuyler Central School,43.0312,-75.0727,41
Parishvl Hopkinton Cent Sch,44.5787,-74.7725,41
Montauk Union Free School,41.0359,-71.9593,41
Sherburne Earlville Central School District,42.6886,-75.5007,41
Cattaraugus,42.224267,-78.606673,41
Greene,42.298326,-73.973376,41
Herkimer,43.070026,-74.994246,41
Valley Str Hemp 30 U F S,40.6727,-73.7095,41
Tri Valley Central School,41.85,-74.538,41
Newfane Central School,43.3232,-78.7089,40
Clifton Fine Central School District,44.16,-75.0387,40
St. Lawrence,44.689468,-75.242045,40
Willsboro Central School,44.3746,-73.3941,40
Belleville Henderson Central,43.7877,-76.1348,40
Whitehall Central School,43.5514,-73.375,40
Chenango,42.481798,-75.570013,40
Little Falls City Schools,43.0444,-74.852,40
Canajoharie Central School,42.8699,-74.542,40
Geneva City Schools,42.8649,-76.9829,40
Waterford-Halfmoon U F Sch,42.8113,-73.6856,40
Franklin,44.705699,-74.340621,40
Gorham-Mdlsex Cent Sch,42.7762,-77.2154,40
Brushton-Moira Central School,44.8249,-74.5215,40
Eldred Central School,41.5287,-74.883,40
Moriah Central School,44.0458,-73.4798,40
Madison,42.986917,-75.720031,40
Niagara,43.134634,-78.856419,40
Susquehanna Valley Central School District,42.0782,-75.8235,40
Utica City Schools,43.0917,-75.2219,40
Middletown City Schools,41.4487,-74.3989,40
Riverhead Central School,40.9253,-72.6755,40
Warrensburg Central School,43.497,-73.7628,40
Ossining Union Free School,41.167,-73.8472,40
Windsor Central School District,42.0672,-75.6413,40
Dover Union Free School District,41.6858,-73.5773,40
Rome City Schools,43.2218,-75.4272,40
Columbia,42.276913,-73.682168,40
Orleans,43.248394,-78.218438,40
Sullivan,41.705166,-74.711705,40
Washington,43.289513,-73.454761,40
Dolgeville Ctr,43.1024,-74.7768,40
Wynanskill Union Free School,42.6689,-73.6296,40
William Floyd U F School,40.7803,-72.849,40
South Seneca Central School,42.6729,-76.8239,39
Genesee,43.000121,-78.172679,39
Wayne,43.144336,-77.117995,39
Yates,42.634338,-77.078311,39
Byron Bergen Central School,43.0772,-78.0053,39
Barker Central School,43.3346,-78.5554,39
Chautauqua,42.246904,-79.315313,39
Beekmantown Central School,44.7734,-73.5055,39
Stamford Central School District,42.4108,-74.6211,39
Canastota Central School,43.0827,-75.7486,39
Fort Plain Central School,42.9333,-74.6342,39
Jordan Elbridge Central School,43.0348,-76.4461,39
Allegany-Limestone Csd,42.1314,-78.5024,39
Brunswick Central School,42.7503,-73.5713,39
Wayland-Cohocton Central School Dist,42.5636,-77.6025,39
No Rose-Wolcott Cent Sch,43.1924,-76.8289,39
Johnson City Central School District,42.1363,-75.9705,39
Hampton Bays Union Free School,40.8756,-72.5094,39
Peekskill City Schools,41.2864,-73.9172,39
Ravena Coeymans Selkirk Central School District,42.5318,-73.8005,39
Morrisville Eaton Central School District,42.9408,-75.6586,39
Westfield Central School District,42.3286,-79.5687,39
Unadilla Valley Central Schools,42.5843,-75.3356,39
Port Jervis City Schools,41.3737,-74.6978,39
Marion Central School,43.1735,-77.1908,39
Lyncourt Union Free School,43.084,-76.1324,39
Salem Central School,43.1729,-73.3248,39
Herkimer,43.070026,-74.994246,39
Orleans,43.248394,-78.218438,39
Cohoes City School District,42.7714,-73.7112,39
Malone Central School,44.8428,-74.2805,39
Bath Central School,42.3385,-77.3227,39
Fort Ann Central School,43.4104,-73.4909,39
Delaware,42.242972,-74.997944,39
York Central School,42.8307,-77.8944,38
Manchester-Shortsville School District,42.9602,-77.2307,38
Schenectady,42.809233,-73.946838,38
Ilion Central School,42.9824,-75.0863,38
Albion Central School,43.2411,-78.1858,38
Saugerties Central School,42.0869,-73.9515,38
Salamanca City Schools,42.1611,-78.7371,38
Auburn City Schools,42.9136,-76.5794,38
Oneida City Schools,43.0805,-75.663,38
New York Mills U F S,43.0907,-75.3024,38
Mexico Central School,43.4627,-76.2374,38
Norwood Norfolk Central School,44.7742,-74.9899,38
Tioga Central School,42.0564,-76.3489,38
Cayuga,42.940095,-76.560755,38
Wayne,43.144336,-77.117995,38
Mount Markham Central School District,42.8861,-75.1859,38
Berlin Central School,42.6899,-73.3663,38
Cayuga,42.940095,-76.560755,38
Oneida,43.149482,-75.361773,38
Elmira City School District,42.097,-76.8294,38
Coxsackie- Athens C S,42.3509,-73.8077,38
Adirondack Cent Sch-Boonville,43.4829,-75.3374,38
Deer Park Union Free School,40.7604,-73.329,38
Chenango,42.481798,-75.570013,38
Livingston,42.763754,-77.765392,38
Greenburgh Central School,41.0322,-73.8093,38
Sackets Harbor Central School - District,43.9442,-76.1217,38
Dansville Central School,42.5693,-77.7044,38
Malverne Union Free School,40.6704,-73.6624,38
Lindenhurst Union Free School,40.701,-73.3665,38
Patchogue-Medford U F Sch,40.7602,-73.0131,38
Penn Yan Central School,42.6671,-77.063,38
Whitney Point Central School District,42.3379,-75.9759,38
Campbell-Savona Central School Dist,42.2333,-77.198,38
Red Creek Central School,43.2471,-76.724,38
Downsville Central School District,42.0727,-75.0057,38
Island Trees Union Free School,40.7393,-73.5046,38
Seneca Falls Central School,42.9188,-76.8044,38
Marlboro Central School,41.6037,-73.9891,38
Steuben,42.270053,-77.324618,38
Schenectady City Schools,42.7975,-73.9394,37
Odessa Montour Central School,42.3343,-76.7916,37
Dutchess,41.686216,-73.840468,37
Lyme Central School,44.0667,-76.1347,37
Nyack Union Free School,41.0912,-73.9351,37
Clinton,44.731944,-73.548883,37
Schuyler,42.38593,-76.872032,37
Cheektowaga Central School,42.9116,-78.7546,37
Hoosic Valley Central School,42.9073,-73.5808,37
