LOCATION CODE,COUNTY,AREA NAME,REGION,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
580106,SUFFOLK,Amityville Union Free School,NASSAU-SUFFOLK,118,18.70%,176,27.80%,294,46.50%,SCHOOL DISTRICT,150 PARK AVE,AMITYVILLE,NY,11701,"(40.6773, -73.4184)"
141401,ERIE,Lake Shore Central School,WESTERN NEW YORK,80,19.80%,108,26.70%,188,46.40%,SCHOOL DISTRICT,959 BEACH RD,ANGOLA,NY,14006,"(42.65, -79.037)"
650301,WAYNE,Clyde-Savannah Central School,FINGER LAKES,45,25.40%,37,20.90%,82,46.30%,SCHOOL DISTRICT,215 GLASGOW ST,CLYDE,NY,14433,"(43.0878, -76.8677)"
251501,MADISON,Stockbridge Valley Central School,CENTRAL NEW YORK,34,26.60%,25,19.50%,59,46.10%,SCHOOL DISTRICT,6011 WILLIAMS RD,MUNNSVILLE,NY,13409,"(42.9762, -75.6001)"
261600,MONROE,Rochester City Schools,FINGER LAKES,659,17.70%,1050,28.20%,1709,45.90%,SCHOOL DISTRICT,131 W BROAD ST,ROCHESTER,NY,14614,"(43.154, -77.616)"
221401,JEFFERSON,La Fargeville Central School,CENTRAL NEW YORK,22,26.50%,16,19.30%,38,45.80%,SCHOOL DISTRICT,20414 SUNRISE AVE,LA FARGEVILLE,NY,13656,"(44.1944, -75.966)"
22,JEFFERSON,Jefferson,CENTRAL NEW YORK,463,20.90%,550,24.90%,1013,45.80%,COUNTY,,,,,"(44.019295, -75.898971)"
280401,NASSAU,Westbury Union Free Schools,NASSAU-SUFFOLK,244,16.90%,416,28.80%,660,45.70%,SCHOOL DISTRICT,2 HITCHCOCK LN,OLD WESTBURY,NY,11568,"(40.7685, -73.5842)"
81200,CHENANGO,Norwich City School District,NEW YORK - PENN,97,23.70%,88,21.50%,185,45.20%,SCHOOL DISTRICT,89 MIDLAND DR,NORWICH,NY,13815,"(42.5268, -75.5163)"
56,SENECA,Seneca,FINGER LAKES,114,19.30%,153,25.90%,267,45.20%,COUNTY,,,,,"(42.833627, -76.82753)"
610901,TOMPKINS,Newfield Central School,CENTRAL NEW YORK,27,19.30%,36,25.70%,63,45%,SCHOOL DISTRICT,247 MAIN ST,NEWFIELD,NY,14867,"(42.3602, -76.5963)"
51301,CAYUGA,Moravia Central School District,CENTRAL NEW YORK,48,19.80%,61,25.10%,109,44.90%,SCHOOL DISTRICT,68 S MAIN ST,MORAVIA,NY,13118,"(42.7067, -76.4212)"
661904,WESTCHESTER,Port Chester-Rye U F S,HUDSON VALLEY,125,16.80%,210,28.20%,335,44.90%,SCHOOL DISTRICT,113 BOWMAN AVE,PORT CHESTER,NY,10573,"(41.0042, -73.6888)"
220202,JEFFERSON,Alexandria Central Elem. & High Scho,CENTRAL NEW YORK,30,25.90%,22,19%,52,44.80%,SCHOOL DISTRICT,34 BOLTON AVE,ALEXANDRIA BAY,NY,13607,"(44.3354, -75.9119)"
55,SCHUYLER,Schuyler,FINGER LAKES,50,19.20%,67,25.70%,117,44.80%,COUNTY,,,,,"(42.38593, -76.872032)"
460102,OSWEGO,Altmar Parish-Williamstown Central Sch Dist.,CENTRAL NEW YORK,45,18.40%,64,26.20%,109,44.70%,SCHOOL DISTRICT,639 COUNTY RT 22,PARISH,NY,13131,"(43.442, -76.0531)"
60800,CHAUTAUQUA,Dunkirk City School District,WESTERN NEW YORK,52,18.60%,73,26.10%,125,44.60%,SCHOOL DISTRICT,620 MARAUDER DR,DUNKIRK,NY,14048,"(42.4779, -79.3417)"
400800,NIAGARA,Niagara Falls City Schools,WESTERN NEW YORK,361,18.40%,514,26.20%,875,44.50%,SCHOOL DISTRICT,630 66TH ST,NIAGARA FALLS,NY,14304,"(43.0866, -78.9885)"
572301,STEUBEN,Prattsburg Central School,FINGER LAKES,26,23.60%,23,20.90%,49,44.50%,SCHOOL DISTRICT,1 ACADEMY ST,PRATTSBURGH,NY,14873,"(42.5143, -77.253)"
630801,WARREN,Hadley Luzerne Central School,NORTHEASTERN NEW YORK,30,22.10%,30,22.10%,60,44.10%,SCHOOL DISTRICT,27 BEN ROSA PARK,LAKE LUZERNE,NY,12846,"(43.3236, -73.8394)"
640601,WASHINGTON,Fort Edward Union Free School,NORTHEASTERN NEW YORK,39,22%,39,22%,78,44.10%,SCHOOL DISTRICT,220 BROADWAY,FORT EDWARD,NY,12828,"(43.2737, -73.5869)"
11200,ALBANY,Watervliet City School District,NORTHEASTERN NEW YORK,61,21.80%,62,22.10%,123,43.90%,SCHOOL DISTRICT,1245 HILLSIDE DR,WATERVLIET,NY,12189,"(42.7321, -73.7165)"
42801,CATTARAUGUS,Gowanda Central School District,WESTERN NEW YORK,67,22.60%,63,21.30%,130,43.90%,SCHOOL DISTRICT,10674 PROSPECT ST,GOWANDA,NY,14070,"(42.4638, -78.9481)"
230201,LEWIS,Copenhagen Central School,CENTRAL NEW YORK,22,33.30%,7,10.60%,29,43.90%,SCHOOL DISTRICT,3020 MECHANIC ST,COPENHAGEN,NY,13626,"(43.8454, -75.7143)"
230301,LEWIS,Harrisville Central School,CENTRAL NEW YORK,31,27.20%,19,16.70%,50,43.90%,SCHOOL DISTRICT,14371 PIRATE LN,HARRISVILLE,NY,13648,"(44.1025, -75.2963)"
12,DELAWARE,Delaware,NORTHEASTERN NEW YORK,136,18.60%,184,25.20%,320,43.80%,COUNTY,,,,,"(42.242972, -74.997944)"
280208,NASSAU,Roosevelt Union Free School,NASSAU-SUFFOLK,103,16.50%,169,27.10%,272,43.60%,SCHOOL DISTRICT,240 DENTON PL,ROOSEVELT,NY,11575,"(40.6871, -73.582)"
490501,RENSSELAER,Hoosick Falls Central School,NORTHEASTERN NEW YORK,23,17.30%,35,26.30%,58,43.60%,SCHOOL DISTRICT,21187 NY RT 22,HOOSICK FALLS,NY,12090,"(42.8747, -73.3559)"
671201,WYOMING,Perry Central School,WESTERN NEW YORK,35,18.10%,49,25.40%,84,43.50%,SCHOOL DISTRICT,33 WATKINS AVE,PERRY,NY,14530,"(42.7236, -78.003)"
671501,WYOMING,Warsaw Central School,WESTERN NEW YORK,45,21.70%,45,21.70%,90,43.50%,SCHOOL DISTRICT,153 W BUFFALO ST,WARSAW,NY,14569,"(42.7403, -78.1382)"
43001,CATTARAUGUS,Randolph Central School District,WESTERN NEW YORK,29,17.50%,43,25.90%,72,43.40%,SCHOOL DISTRICT,18 MAIN ST,RANDOLPH,NY,14772,"(42.1726, -78.9476)"
640701,WASHINGTON,Granville Central School,NORTHEASTERN NEW YORK,19,13.30%,43,30.10%,62,43.40%,SCHOOL DISTRICT,58 QUAKER ST,GRANVILLE,NY,12832,"(43.4019, -73.2662)"
461300,OSWEGO,Oswego City Schools,CENTRAL NEW YORK,134,12.20%,343,31.10%,477,43.30%,SCHOOL DISTRICT,120 E 1ST ST,OSWEGO,NY,13126,"(43.4568, -76.5077)"
101300,COLUMBIA,Hudson City Schools,NORTHEASTERN NEW YORK,95,17.30%,142,25.90%,237,43.20%,SCHOOL DISTRICT,215 HARRY HOWARD AVE,HUDSON,NY,12534,"(42.26, -73.7713)"
131101,DUTCHESS,Northeast Central School District,HUDSON VALLEY,29,15.20%,53,27.70%,82,42.90%,SCHOOL DISTRICT,194 HAIGHT RD,AMENIA,NY,12501,"(41.8881, -73.5307)"
231301,LEWIS,Beaver River Central School,CENTRAL NEW YORK,38,24.40%,29,18.60%,67,42.90%,SCHOOL DISTRICT,9508 ARTZ RD,BEAVER FALLS,NY,13305,"(43.8815, -75.4383)"
280100,NASSAU,Glen Cove City Schools,NASSAU-SUFFOLK,105,18.80%,134,24%,239,42.80%,SCHOOL DISTRICT,150 DOSORIS LN,GLEN COVE,NY,11542,"(40.879, -73.6301)"
21601,ALLEGANY,Friendship Central School District,WESTERN NEW YORK,28,25.50%,19,17.30%,47,42.70%,SCHOOL DISTRICT,46 W MAIN ST,FRIENDSHIP,NY,14739,"(42.2066, -78.137)"
650501,WAYNE,Lyons Central School,FINGER LAKES,24,16.80%,37,25.90%,61,42.70%,SCHOOL DISTRICT,10 CLYDE RD,LYONS,NY,14489,"(43.064, -76.986)"
490601,RENSSELAER,Lansingburgh Cent Sch At Troy,NORTHEASTERN NEW YORK,57,21%,59,21.70%,116,42.60%,SCHOOL DISTRICT,576 5TH AVE,TROY,NY,12182,"(42.7742, -73.6739)"
572901,STEUBEN,Hammondsport Central School,FINGER LAKES,21,18.30%,28,24.30%,49,42.60%,SCHOOL DISTRICT,8272 MAIN ST EXT,HAMMONDSPORT,NY,14840,"(42.4033, -77.2228)"
80101,CHENANGO,Afton Central School District,NEW YORK - PENN,17,13.40%,37,29.10%,54,42.50%,SCHOOL DISTRICT,29 ACADEMY ST,AFTON,NY,13730,"(42.2305, -75.5277)"
471601,OTSEGO,Otego-Unadilla Central School District,NORTHEASTERN NEW YORK,38,19.70%,44,22.80%,82,42.50%,SCHOOL DISTRICT,2641 STATE HWY 7,OTEGO,NY,13825,"(42.3705, -75.2243)"
510501,ST. LAWRENCE,Colton Pierrept Cent Sch,CENTRAL NEW YORK,17,20%,19,22.40%,36,42.40%,SCHOOL DISTRICT,4921 STATE HWY 56,COLTON,NY,13625,"(44.5586, -74.9477)"
90901,CLINTON,Northern Adirondack Central School,NORTHEASTERN NEW YORK,26,16.70%,40,25.60%,66,42.30%,SCHOOL DISTRICT,5572 RT 11,ELLENBURG DEPOT,NY,12935,"(44.8607, -73.7854)"
160101,FRANKLIN,Tupper Lake Central School,NORTHEASTERN NEW YORK,40,19.40%,47,22.80%,87,42.20%,SCHOOL DISTRICT,294 HOSLEY AVE,TUPPER LAKE,NY,12986,"(44.2221, -74.4438)"
210601,HERKIMER,Herkimer Central School,CENTRAL NEW YORK,47,16.30%,75,26%,122,42.20%,SCHOOL DISTRICT,801 W GERMAN ST,HERKIMER,NY,13350,"(43.0238, -75.0015)"
570201,STEUBEN,Avoca Central School,FINGER LAKES,25,19.50%,29,22.70%,54,42.20%,SCHOOL DISTRICT,17-29 OLIVER ST,AVOCA,NY,14809,"(42.4108, -77.4174)"
620600,ULSTER,Kingston City Schools,HUDSON VALLEY,250,20.60%,262,21.60%,512,42.20%,SCHOOL DISTRICT,61 CROWN ST,KINGSTON,NY,12401,"(41.9343, -74.0217)"
59,SULLIVAN,Sullivan,HUDSON VALLEY,225,19.70%,258,22.60%,483,42.20%,COUNTY,,,,,"(41.705166, -74.711705)"
50301,CAYUGA,Weedsport Central School District,CENTRAL NEW YORK,20,11.20%,55,30.90%,75,42.10%,SCHOOL DISTRICT,2821 E BRUTUS ST,WEEDSPORT,NY,13166,"(43.0473, -76.5543)"
23,LEWIS,Lewis,CENTRAL NEW YORK,112,19.60%,129,22.60%,241,42.10%,COUNTY,,,,,"(43.785537, -75.446296)"
412000,ONEIDA,Sherrill City Schools,CENTRAL NEW YORK,97,19.90%,108,22.10%,205,42%,SCHOOL DISTRICT,5275 STATE RT 31,VERONA,NY,13478,"(43.1171, -75.5682)"
210502,HERKIMER,Mohawk Central School,CENTRAL NEW YORK,41,19.10%,49,22.80%,90,41.90%,SCHOOL DISTRICT,28 GROVE ST,MOHAWK,NY,13407,"(43.0082, -75.0079)"
591401,SULLIVAN,Monticello Central School,HUDSON VALLEY,133,18.70%,165,23.20%,298,41.90%,SCHOOL DISTRICT,237 FORESTBURGH RD,MONTICELLO,NY,12701,"(41.6418, -74.7061)"
10701,ALBANY,Green Island Union Free School District,NORTHEASTERN NEW YORK,14,20.90%,14,20.90%,28,41.80%,SCHOOL DISTRICT,171 HUDSON AVE,GREEN ISLAND,NY,12183,"(42.7462, -73.6906)"
46,OSWEGO,Oswego,CENTRAL NEW YORK,470,18.20%,612,23.60%,1082,41.80%,COUNTY,,,,,"(43.39123, -76.31133)"
450607,ORLEANS,Kendall Central School,WESTERN NEW YORK,32,19%,38,22.60%,70,41.70%,SCHOOL DISTRICT,1932 KENDALL RD,KENDALL,NY,14476,"(43.3222, -78.0364)"
420807,ONONDAGA,La Fayette Central School,CENTRAL NEW YORK,39,19.30%,45,22.30%,84,41.60%,SCHOOL DISTRICT,5955 RT 20W,LAFAYETTE,NY,13084,"(42.8931, -76.1133)"
31301,BROOME,Deposit Central School District,NEW YORK - PENN,23,18.70%,28,22.80%,51,41.50%,SCHOOL DISTRICT,171 2ND ST,DEPOSIT,NY,13754,"(42.0658, -75.4192)"
161801,FRANKLIN,St Regis Falls Central School,NORTHEASTERN NEW YORK,17,41.50%,,,17,41.50%,SCHOOL DISTRICT,92 N MAIN ST,SAINT REGIS FALLS,NY,12980,"(44.6793, -74.5462)"
9,CLINTON,Clinton,NORTHEASTERN NEW YORK,237,19.20%,275,22.30%,512,41.50%,COUNTY,,,,,"(44.731944, -73.548883)"
22401,ALLEGANY,Scio Central School District,WESTERN NEW YORK,11,15.70%,18,25.70%,29,41.40%,SCHOOL DISTRICT,3968 WASHINGTON ST,SCIO,NY,14880,"(42.1728, -77.9777)"
46,OSWEGO,Oswego,CENTRAL NEW YORK,679,17.10%,968,24.30%,1647,41.40%,COUNTY,,,,,"(43.39123, -76.31133)"
20801,ALLEGANY,Belfast Central School District,WESTERN NEW YORK,17,21.30%,16,20%,33,41.30%,SCHOOL DISTRICT,1 KING ST,BELFAST,NY,14711,"(42.3405, -78.1168)"
190301,GREENE,Cairo-Durham Central School,NORTHEASTERN NEW YORK,56,18.10%,72,23.20%,128,41.30%,SCHOOL DISTRICT,424 MAIN ST,CAIRO,NY,12413,"(42.2983, -73.9975)"
500402,ROCKLAND,East Ramapo Central School,HUDSON VALLEY,137,14.60%,250,26.70%,387,41.30%,SCHOOL DISTRICT,105 S MADISON AVE,SPRING VALLEY,NY,10977,"(41.1031, -74.0485)"
580105,SUFFOLK,Copiague Union Free School,NASSAU-SUFFOLK,225,23.60%,169,17.70%,394,41.30%,SCHOOL DISTRICT,2650 GREAT NECK RD,COPIAGUE,NY,11726,"(40.6889, -73.4029)"
16,FRANKLIN,Franklin,NORTHEASTERN NEW YORK,211,18.80%,252,22.50%,463,41.30%,COUNTY,,,,,"(44.705699, -74.340621)"
10615,ALBANY,Menands Union Free School District,NORTHEASTERN NEW YORK,15,17.60%,20,23.50%,35,41.20%,SCHOOL DISTRICT,19 WARDS LN,MENANDS,NY,12204,"(42.6845, -73.7341)"
40901,CATTARAUGUS,Ellicottville Central School District,WESTERN NEW YORK,27,16.40%,41,24.80%,68,41.20%,SCHOOL DISTRICT,5873 RT 219,ELLICOTTVILLE,NY,14731,"(42.2537, -78.6504)"
450801,ORLEANS,Medina Central School,WESTERN NEW YORK,76,17.70%,101,23.50%,177,41.20%,SCHOOL DISTRICT,1 MUSTANG DR,MEDINA,NY,14103,"(43.2083, -78.3911)"
580909,SUFFOLK,Bridgehampton U F S,NASSAU-SUFFOLK,,,14,41.20%,14,41.20%,SCHOOL DISTRICT,2685 MONTAUK HWY,BRIDGEHAMPTON,NY,11932,"(40.9389, -72.2954)"
130801,DUTCHESS,Hyde Park Central School District,HUDSON VALLEY,103,19.10%,119,22%,222,41.10%,SCHOOL DISTRICT,11 BOICE RD,HYDE PARK,NY,12538,"(41.7891, -73.9337)"
