LOCATION CODE,COUNTY,AREA NAME,REGION,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
150901,ESSEX,Moriah Central School,NORTHEASTERN NEW YORK,26,14.80%,44,25%,70,39.80%,SCHOOL DISTRICT,39 VIKING LN,PORT HENRY,NY,12974,"(44.0458, -73.4798)"
25,MADISON,Madison,CENTRAL NEW YORK,251,19.10%,272,20.70%,523,39.80%,COUNTY,,,,,"(42.986917, -75.720031)"
40,NIAGARA,Niagara,WESTERN NEW YORK,769,17.60%,969,22.20%,1738,39.80%,COUNTY,,,,,"(43.134634, -78.856419)"
30601,BROOME,Susquehanna Valley Central School District,NEW YORK - PENN,63,20.20%,61,19.60%,124,39.70%,SCHOOL DISTRICT,1040 CONKLIN RD,CONKLIN,NY,13748,"(42.0782, -75.8235)"
412300,ONEIDA,Utica City Schools,CENTRAL NEW YORK,246,17.20%,323,22.50%,569,39.70%,SCHOOL DISTRICT,1115 MOHAWK ST,UTICA,NY,13501,"(43.0917, -75.2219)"
441000,ORANGE,Middletown City Schools,HUDSON VALLEY,128,16%,190,23.70%,318,39.70%,SCHOOL DISTRICT,223 WISNER AVE EXT,MIDDLETOWN,NY,10940,"(41.4487, -74.3989)"
580602,SUFFOLK,Riverhead Central School,NASSAU-SUFFOLK,137,14.30%,243,25.40%,380,39.70%,SCHOOL DISTRICT,700 OSBORN AVE,RIVERHEAD,NY,11901,"(40.9253, -72.6755)"
631201,WARREN,Warrensburg Central School,NORTHEASTERN NEW YORK,21,16.70%,29,23%,50,39.70%,SCHOOL DISTRICT,103 SCHROON RIVER RD,WARRENSBURG,NY,12885,"(43.497, -73.7628)"
661401,WESTCHESTER,Ossining Union Free School,HUDSON VALLEY,200,18.80%,222,20.90%,422,39.70%,SCHOOL DISTRICT,190 CROTON AVE,OSSINING,NY,10562,"(41.167, -73.8472)"
31701,BROOME,Windsor Central School District,NEW YORK - PENN,65,20.20%,62,19.30%,127,39.60%,SCHOOL DISTRICT,1191 NY RT 79,WINDSOR,NY,13865,"(42.0672, -75.6413)"
130502,DUTCHESS,Dover Union Free School District,HUDSON VALLEY,36,21.30%,31,18.30%,67,39.60%,SCHOOL DISTRICT,2368 RT 22,DOVER PLAINS,NY,12522,"(41.6858, -73.5773)"
411800,ONEIDA,Rome City Schools,CENTRAL NEW YORK,238,16.50%,335,23.20%,573,39.60%,SCHOOL DISTRICT,409 BELL RD,ROME,NY,13440,"(43.2218, -75.4272)"
10,COLUMBIA,Columbia,NORTHEASTERN NEW YORK,212,20.90%,189,18.70%,401,39.60%,COUNTY,,,,,"(42.276913, -73.682168)"
45,ORLEANS,Orleans,WESTERN NEW YORK,160,17.60%,200,22%,360,39.60%,COUNTY,,,,,"(43.248394, -78.218438)"
59,SULLIVAN,Sullivan,HUDSON VALLEY,315,17.50%,399,22.10%,714,39.60%,COUNTY,,,,,"(41.705166, -74.711705)"
64,WASHINGTON,Washington,NORTHEASTERN NEW YORK,228,18.50%,260,21.10%,488,39.60%,COUNTY,,,,,"(43.289513, -73.454761)"
211003,HERKIMER,Dolgeville Ctr,CENTRAL NEW YORK,23,13%,47,26.60%,70,39.50%,SCHOOL DISTRICT,38 SLAWSON ST,DOLGEVILLE,NY,13329,"(43.1024, -74.7768)"
490804,RENSSELAER,Wynanskill Union Free School,NORTHEASTERN NEW YORK,12,15.80%,18,23.70%,30,39.50%,SCHOOL DISTRICT,EAST AVE,WYNANTSKILL,NY,12198,"(42.6689, -73.6296)"
580232,SUFFOLK,William Floyd U F School,NASSAU-SUFFOLK,323,15.70%,487,23.70%,810,39.50%,SCHOOL DISTRICT,240 MASTIC BEACH RD,MASTIC BEACH,NY,11951,"(40.7803, -72.849)"
560501,SENECA,South Seneca Central School,FINGER LAKES,20,14.60%,34,24.80%,54,39.40%,SCHOOL DISTRICT,7263 MAIN ST,OVID,NY,14521,"(42.6729, -76.8239)"
18,GENESEE,Genesee,WESTERN NEW YORK,176,16.10%,254,23.30%,430,39.40%,COUNTY,,,,,"(43.000121, -78.172679)"
65,WAYNE,Wayne,FINGER LAKES,348,17.90%,418,21.50%,766,39.40%,COUNTY,,,,,"(43.144336, -77.117995)"
68,YATES,Yates,FINGER LAKES,65,16.60%,89,22.80%,154,39.40%,COUNTY,,,,,"(42.634338, -77.078311)"
180701,GENESEE,Byron Bergen Central School,WESTERN NEW YORK,21,10.40%,58,28.90%,79,39.30%,SCHOOL DISTRICT,6917 W BERGEN RD,BERGEN,NY,14416,"(43.0772, -78.0053)"
401301,NIAGARA,Barker Central School,WESTERN NEW YORK,37,18%,44,21.40%,81,39.30%,SCHOOL DISTRICT,1628 QUAKER RD,BARKER,NY,14012,"(43.3346, -78.5554)"
6,CHAUTAUQUA,Chautauqua,WESTERN NEW YORK,466,16.80%,622,22.50%,1088,39.30%,COUNTY,,,,,"(42.246904, -79.315313)"
90301,CLINTON,Beekmantown Central School,NORTHEASTERN NEW YORK,60,18.50%,67,20.70%,127,39.20%,SCHOOL DISTRICT,37 EAGLE WAY,WEST CHAZY,NY,12992,"(44.7734, -73.5055)"
121701,DELAWARE,Stamford Central School District,NORTHEASTERN NEW YORK,18,18.60%,20,20.60%,38,39.20%,SCHOOL DISTRICT,1 RIVER ST,STAMFORD,NY,12167,"(42.4108, -74.6211)"
250901,MADISON,Canastota Central School,CENTRAL NEW YORK,57,17.30%,72,21.90%,129,39.20%,SCHOOL DISTRICT,120 ROBERTS ST,CANASTOTA,NY,13032,"(43.0827, -75.7486)"
270701,MONTGOMERY,Fort Plain Central School,NORTHEASTERN NEW YORK,37,18.10%,43,21.10%,80,39.20%,SCHOOL DISTRICT,25 HIGH ST,FORT PLAIN,NY,13339,"(42.9333, -74.6342)"
420501,ONONDAGA,Jordan Elbridge Central School,CENTRAL NEW YORK,37,20.40%,34,18.80%,71,39.20%,SCHOOL DISTRICT,130 E MAIN ST,ELBRIDGE,NY,13060,"(43.0348, -76.4461)"
40302,CATTARAUGUS,Allegany-Limestone Csd,WESTERN NEW YORK,81,24.30%,49,14.70%,130,39%,SCHOOL DISTRICT,3131 FIVE MILE RD,ALLEGANY,NY,14706,"(42.1314, -78.5024)"
490202,RENSSELAER,Brunswick Central School,NORTHEASTERN NEW YORK,43,19.70%,42,19.30%,85,39%,SCHOOL DISTRICT,3992 NY RT 2,TROY,NY,12180,"(42.7503, -73.5713)"
573002,STEUBEN,Wayland-Cohocton Central School Dist,FINGER LAKES,57,19.90%,55,19.20%,112,39%,SCHOOL DISTRICT,2350 RT 63,WAYLAND,NY,14572,"(42.5636, -77.6025)"
651501,WAYNE,No Rose-Wolcott Cent Sch,FINGER LAKES,45,17.40%,56,21.60%,101,39%,SCHOOL DISTRICT,11669 SALTER-COLVN RD,WOLCOTT,NY,14590,"(43.1924, -76.8289)"
31502,BROOME,Johnson City Central School District,NEW YORK - PENN,73,16%,105,23%,178,38.90%,SCHOOL DISTRICT,666 REYNOLDS RD,JOHNSON CITY,NY,13790,"(42.1363, -75.9705)"
580905,SUFFOLK,Hampton Bays Union Free School,NASSAU-SUFFOLK,69,16.30%,96,22.60%,165,38.90%,SCHOOL DISTRICT,86 E ARGONNE RD,HAMPTON BAYS,NY,11946,"(40.8756, -72.5094)"
661500,WESTCHESTER,Peekskill City Schools,HUDSON VALLEY,33,16.70%,44,22.20%,77,38.90%,SCHOOL DISTRICT,1031 ELM ST,PEEKSKILL,NY,10566,"(41.2864, -73.9172)"
10402,ALBANY,Ravena Coeymans Selkirk Central School District,NORTHEASTERN NEW YORK,63,18.30%,71,20.60%,134,38.80%,SCHOOL DISTRICT,26 THATCHER ST,SELKIRK,NY,12158,"(42.5318, -73.8005)"
250401,MADISON,Morrisville Eaton Central School District,CENTRAL NEW YORK,29,15.80%,42,23%,71,38.80%,SCHOOL DISTRICT,5061 FEARON RD,MORRISVILLE,NY,13408,"(42.9408, -75.6586)"
62901,CHAUTAUQUA,Westfield Central School District,WESTERN NEW YORK,34,22.70%,24,16%,58,38.70%,SCHOOL DISTRICT,203 E MAIN ST,WESTFIELD,NY,14787,"(42.3286, -79.5687)"
81003,CHENANGO,Unadilla Valley Central Schools,NEW YORK - PENN,38,20.40%,34,18.30%,72,38.70%,SCHOOL DISTRICT,4238 STATE HWY 8,NEW BERLIN,NY,13411,"(42.5843, -75.3356)"
441800,ORANGE,Port Jervis City Schools,HUDSON VALLEY,93,16.30%,127,22.30%,220,38.70%,SCHOOL DISTRICT,9 THOMPSON ST,PORT JERVIS,NY,12771,"(41.3737, -74.6978)"
650701,WAYNE,Marion Central School,FINGER LAKES,36,19.90%,34,18.80%,70,38.70%,SCHOOL DISTRICT,4034 WARNER RD,MARION,NY,14505,"(43.1735, -77.1908)"
421504,ONONDAGA,Lyncourt Union Free School,CENTRAL NEW YORK,14,16.90%,18,21.70%,32,38.60%,SCHOOL DISTRICT,2707-2709 COURT ST,SYRACUSE,NY,13208,"(43.084, -76.1324)"
641501,WASHINGTON,Salem Central School,NORTHEASTERN NEW YORK,18,17.80%,21,20.80%,39,38.60%,SCHOOL DISTRICT,41 E BROADWAY,SALEM,NY,12865,"(43.1729, -73.3248)"
21,HERKIMER,Herkimer,CENTRAL NEW YORK,293,16.80%,380,21.80%,673,38.60%,COUNTY,,,,,"(43.070026, -74.994246)"
45,ORLEANS,Orleans,WESTERN NEW YORK,226,16.90%,291,21.70%,517,38.60%,COUNTY,,,,,"(43.248394, -78.218438)"
10500,ALBANY,Cohoes City School District,NORTHEASTERN NEW YORK,59,14.90%,94,23.70%,153,38.50%,SCHOOL DISTRICT,7 BEVAN ST,COHOES,NY,12047,"(42.7714, -73.7112)"
161501,FRANKLIN,Malone Central School,NORTHEASTERN NEW YORK,87,16.80%,113,21.80%,200,38.50%,SCHOOL DISTRICT,42 HUSKIE LN,MALONE,NY,12953,"(44.8428, -74.2805)"
570302,STEUBEN,Bath Central School,FINGER LAKES,70,19.20%,70,19.20%,140,38.50%,SCHOOL DISTRICT,25 ELLAS AVE,BATH,NY,14810,"(42.3385, -77.3227)"
640502,WASHINGTON,Fort Ann Central School,NORTHEASTERN NEW YORK,23,18.90%,24,19.70%,47,38.50%,SCHOOL DISTRICT,1 CATHERINE ST,FORT ANN,NY,12827,"(43.4104, -73.4909)"
12,DELAWARE,Delaware,NORTHEASTERN NEW YORK,180,17.90%,207,20.60%,387,38.50%,COUNTY,,,,,"(42.242972, -74.997944)"
241701,LIVINGSTON,York Central School,FINGER LAKES,20,14.50%,33,23.90%,53,38.40%,SCHOOL DISTRICT,2578 GENESEE ST,RETSOF,NY,14539,"(42.8307, -77.8944)"
431101,ONTARIO,Manchester-Shortsville School District,FINGER LAKES,23,15.20%,35,23.20%,58,38.40%,SCHOOL DISTRICT,1506 RT 21,SHORTSVILLE,NY,14548,"(42.9602, -77.2307)"
53,SCHENECTADY,Schenectady,NORTHEASTERN NEW YORK,402,16.90%,511,21.50%,913,38.40%,COUNTY,,,,,"(42.809233, -73.946838)"
210501,HERKIMER,Ilion Central School,CENTRAL NEW YORK,60,16.20%,82,22.10%,142,38.30%,SCHOOL DISTRICT,1 GOLDEN BOMBER DR,ILION,NY,13357,"(42.9824, -75.0863)"
450101,ORLEANS,Albion Central School,WESTERN NEW YORK,62,17.90%,71,20.50%,133,38.30%,SCHOOL DISTRICT,324 EAST AVE,ALBION,NY,14411,"(43.2411, -78.1858)"
621601,ULSTER,Saugerties Central School,HUDSON VALLEY,22,14.80%,35,23.50%,57,38.30%,SCHOOL DISTRICT,310 WASHINGTON AVE EXT,SAUGERTIES,NY,12477,"(42.0869, -73.9515)"
43200,CATTARAUGUS,Salamanca City Schools,WESTERN NEW YORK,61,20.30%,54,17.90%,115,38.20%,SCHOOL DISTRICT,50 IROQUOIS DR,SALAMANCA,NY,14779,"(42.1611, -78.7371)"
50100,CAYUGA,Auburn City Schools,CENTRAL NEW YORK,187,17.30%,225,20.90%,412,38.20%,SCHOOL DISTRICT,78 THORNTON AVE,AUBURN,NY,13021,"(42.9136, -76.5794)"
251400,MADISON,Oneida City Schools,CENTRAL NEW YORK,89,18.20%,98,20%,187,38.20%,SCHOOL DISTRICT,565 SAYLES ST,ONEIDA,NY,13421,"(43.0805, -75.663)"
411504,ONEIDA,New York Mills U F S,CENTRAL NEW YORK,19,21.30%,15,16.90%,34,38.20%,SCHOOL DISTRICT,1 MARAUDER BLVD,NEW YORK MILLS,NY,13417,"(43.0907, -75.3024)"
460901,OSWEGO,Mexico Central School,CENTRAL NEW YORK,62,15.90%,87,22.30%,149,38.20%,SCHOOL DISTRICT,40 ACADEMY ST,MEXICO,NY,13114,"(43.4627, -76.2374)"
512201,ST. LAWRENCE,Norwood Norfolk Central School,CENTRAL NEW YORK,32,15.50%,47,22.70%,79,38.20%,SCHOOL DISTRICT,7852 STATE HWY 56,NORWOOD,NY,13668,"(44.7742, -74.9899)"
600903,TIOGA,Tioga Central School,NEW YORK - PENN,32,18.50%,34,19.70%,66,38.20%,SCHOOL DISTRICT,3 5TH AVE,TIOGA CENTER,NY,13845,"(42.0564, -76.3489)"
5,CAYUGA,Cayuga,CENTRAL NEW YORK,368,16.30%,495,21.90%,863,38.20%,COUNTY,,,,,"(42.940095, -76.560755)"
100000,N/A,Central New York,CENTRAL NEW YORK,4336,17.50%,5144,20.70%,9480,38.20%,REGION,,,,,
65,WAYNE,Wayne,FINGER LAKES,507,18%,563,20%,1070,38.10%,COUNTY,,,,,"(43.144336, -77.117995)"
212001,HERKIMER,Mount Markham Central School District,CENTRAL NEW YORK,14,13%,27,25%,41,38%,SCHOOL DISTRICT,500 FAIRGROUND RD,WEST WINFIELD,NY,13491,"(42.8861, -75.1859)"
490101,RENSSELAER,Berlin Central School,NORTHEASTERN NEW YORK,44,22%,32,16%,76,38%,SCHOOL DISTRICT,53 SCHOOL ST,BERLIN,NY,12022,"(42.6899, -73.3663)"
5,CAYUGA,Cayuga,CENTRAL NEW YORK,213,16%,294,22%,507,38%,COUNTY,,,,,"(42.940095, -76.560755)"
41,ONEIDA,Oneida,CENTRAL NEW YORK,611,16.80%,768,21.10%,1379,38%,COUNTY,,,,,"(43.149482, -75.361773)"
70600,CHEMUNG,Elmira City School District,FINGER LAKES,233,18.10%,254,19.80%,487,37.90%,SCHOOL DISTRICT,951 HOFFMAN ST,ELMIRA,NY,14905,"(42.097, -76.8294)"
190501,GREENE,Coxsackie- Athens C S,NORTHEASTERN NEW YORK,59,17.90%,66,20%,125,37.90%,SCHOOL DISTRICT,24 SUNSET BLVD,COXSACKIE,NY,12051,"(42.3509, -73.8077)"
410401,ONEIDA,Adirondack Cent Sch-Boonville,CENTRAL NEW YORK,38,20.90%,31,17%,69,37.90%,SCHOOL DISTRICT,110 FORD ST,BOONVILLE,NY,13309,"(43.4829, -75.3374)"
580107,SUFFOLK,Deer Park Union Free School,NASSAU-SUFFOLK,91,17.90%,101,19.90%,192,37.90%,SCHOOL DISTRICT,1881 DEER PARK AVE,DEER PARK,NY,11729,"(40.7604, -73.329)"
8,CHENANGO,Chenango,NEW YORK - PENN,267,17.10%,324,20.80%,591,37.90%,COUNTY,,,,,"(42.481798, -75.570013)"
24,LIVINGSTON,Livingston,FINGER LAKES,186,16.90%,232,21.10%,418,37.90%,COUNTY,,,,,"(42.763754, -77.765392)"
660407,WESTCHESTER,Greenburgh Central School,HUDSON VALLEY,48,17%,59,20.80%,107,37.80%,SCHOOL DISTRICT,475 W HARTSDALE AVE-ADMIN BLDG,HARTSDALE,NY,10530,"(41.0322, -73.8093)"
221001,JEFFERSON,Sackets Harbor Central School - District,CENTRAL NEW YORK,7,9.10%,22,28.60%,29,37.70%,SCHOOL DISTRICT,215 S BROAD ST,SACKETS HARBOR,NY,13685,"(43.9442, -76.1217)"
241001,LIVINGSTON,Dansville Central School,FINGER LAKES,49,16.20%,65,21.50%,114,37.70%,SCHOOL DISTRICT,284 MAIN ST,DANSVILLE,NY,14437,"(42.5693, -77.7044)"
280212,NASSAU,Malverne Union Free School,NASSAU-SUFFOLK,56,17.90%,62,19.80%,118,37.70%,SCHOOL DISTRICT,301 WICKS LN,MALVERNE,NY,11565,"(40.6704, -73.6624)"
580104,SUFFOLK,Lindenhurst Union Free School,NASSAU-SUFFOLK,221,18.60%,227,19.10%,448,37.70%,SCHOOL DISTRICT,350 DANIEL ST,LINDENHURST,NY,11757,"(40.701, -73.3665)"
580224,SUFFOLK,Patchogue-Medford U F Sch,NASSAU-SUFFOLK,274,16.30%,359,21.40%,633,37.70%,SCHOOL DISTRICT,241 S OCEAN AVE,PATCHOGUE,NY,11772,"(40.7602, -73.0131)"
680601,YATES,Penn Yan Central School,FINGER LAKES,45,18.20%,48,19.40%,93,37.70%,SCHOOL DISTRICT,1 SCHOOL DR,PENN YAN,NY,14527,"(42.6671, -77.063)"
31401,BROOME,Whitney Point Central School District,NEW YORK - PENN,50,21.40%,38,16.20%,88,37.60%,SCHOOL DISTRICT,10 KEIBEL RD,WHITNEY POINT,NY,13862,"(42.3379, -75.9759)"
570603,STEUBEN,Campbell-Savona Central School Dist,FINGER LAKES,32,15.20%,47,22.40%,79,37.60%,SCHOOL DISTRICT,8455 COUNTY RT 125,CAMPBELL,NY,14821,"(42.2333, -77.198)"
651503,WAYNE,Red Creek Central School,FINGER LAKES,19,16.20%,25,21.40%,44,37.60%,SCHOOL DISTRICT,6815 CHURCH ST,RED CREEK,NY,13143,"(43.2471, -76.724)"
120301,DELAWARE,Downsville Central School District,NORTHEASTERN NEW YORK,13,27.10%,5,10.40%,18,37.50%,SCHOOL DISTRICT,14784 STATE HWY 30,DOWNSVILLE,NY,13755,"(42.0727, -75.0057)"
280226,NASSAU,Island Trees Union Free School,NASSAU-SUFFOLK,100,19.30%,94,18.20%,194,37.50%,SCHOOL DISTRICT,74 FARMEDGE RD,LEVITTOWN,NY,11756,"(40.7393, -73.5046)"
560701,SENECA,Seneca Falls Central School,FINGER LAKES,36,16.70%,45,20.80%,81,37.50%,SCHOOL DISTRICT,98 CLINTON ST,SENECA FALLS,NY,13148,"(42.9188, -76.8044)"
621001,ULSTER,Marlboro Central School,HUDSON VALLEY,66,20.80%,53,16.70%,119,37.50%,SCHOOL DISTRICT,1510 RTE 9W-STE 201,MARLBORO,NY,12542,"(41.6037, -73.9891)"
57,STEUBEN,Steuben,FINGER LAKES,276,15.90%,375,21.60%,651,37.50%,COUNTY,,,,,"(42.270053, -77.324618)"
530600,SCHENECTADY,Schenectady City Schools,NORTHEASTERN NEW YORK,343,17%,411,20.40%,754,37.40%,SCHOOL DISTRICT,108 EDUCATION DR,SCHENECTADY,NY,12303,"(42.7975, -73.9394)"
550101,SCHUYLER,Odessa Montour Central School,FINGER LAKES,30,16.80%,37,20.70%,67,37.40%,SCHOOL DISTRICT,300 COLLEGE AVE,ODESSA,NY,14869,"(42.3343, -76.7916)"
13,DUTCHESS,Dutchess,HUDSON VALLEY,872,18.20%,924,19.30%,1796,37.40%,COUNTY,,,,,"(41.686216, -73.840468)"
221301,JEFFERSON,Lyme Central School,CENTRAL NEW YORK,8,9.60%,23,27.70%,31,37.30%,SCHOOL DISTRICT,11868 ACADEMY ST,CHAUMONT,NY,13622,"(44.0667, -76.1347)"
500304,ROCKLAND,Nyack Union Free School,HUDSON VALLEY,80,15.20%,116,22.10%,196,37.30%,SCHOOL DISTRICT,13A DICKINSON AVE,NYACK,NY,10960,"(41.0912, -73.9351)"
9,CLINTON,Clinton,NORTHEASTERN NEW YORK,288,18.10%,304,19.10%,592,37.30%,COUNTY,,,,,"(44.731944, -73.548883)"
55,SCHUYLER,Schuyler,FINGER LAKES,35,15.40%,50,21.90%,85,37.30%,COUNTY,,,,,"(42.38593, -76.872032)"
500000,N/A,New York - Penn,NEW YORK - PENN,983,16.40%,1247,20.80%,2230,37.30%,REGION,,,,,
140701,ERIE,Cheektowaga Central School,WESTERN NEW YORK,88,17.30%,101,19.90%,189,37.20%,SCHOOL DISTRICT,3600 UNION RD,CHEEKTOWAGA,NY,14225,"(42.9116, -78.7546)"
491401,RENSSELAER,Hoosic Valley Central School,NORTHEASTERN NEW YORK,33,16.60%,41,20.60%,74,37.20%,SCHOOL DISTRICT,2 PLEASANT AVE,SCHAGHTICOKE,NY,12154,"(42.9073, -73.5808)"
661100,WESTCHESTER,New Rochelle City Schools,HUDSON VALLEY,341,15.60%,472,21.60%,813,37.20%,SCHOOL DISTRICT,515 NORTH AVE,NEW ROCHELLE,NY,10801,"(40.9198, -73.7872)"
62,ULSTER,Ulster,HUDSON VALLEY,508,16.70%,621,20.40%,1129,37.20%,COUNTY,,,,,"(41.848374, -74.099412)"
220101,JEFFERSON,South Jefferson Central School,CENTRAL NEW YORK,41,19.20%,38,17.80%,79,37.10%,SCHOOL DISTRICT,13180 US RT 11,ADAMS CENTER,NY,13606,"(43.8591, -76.0066)"
470501,OTSEGO,Edmeston Central School,NORTHEASTERN NEW YORK,11,11.30%,25,25.80%,36,37.10%,SCHOOL DISTRICT,11 NORTH ST,EDMESTON,NY,13335,"(42.699, -75.2448)"
580109,SUFFOLK,Wyandanch Union Free School,NASSAU-SUFFOLK,55,16.70%,67,20.40%,122,37.10%,SCHOOL DISTRICT,1445 STRAIGHT PATH,WYANDANCH,NY,11798,"(40.7462, -73.365)"
580502,SUFFOLK,Islip Union Free School,NASSAU-SUFFOLK,84,16.10%,110,21%,194,37.10%,SCHOOL DISTRICT,215 MAIN ST,ISLIP,NY,11751,"(40.728, -73.2214)"
3,BROOME,Broome,NEW YORK - PENN,651,16%,858,21.10%,1509,37.10%,COUNTY,,,,,"(42.122015, -75.933191)"
11,CORTLAND,Cortland,CENTRAL NEW YORK,125,16%,165,21.10%,290,37.10%,COUNTY,,,,,"(42.597101, -76.143291)"
63,WARREN,Warren,NORTHEASTERN NEW YORK,193,13.70%,331,23.40%,524,37.10%,COUNTY,,,,,"(43.403024, -73.716044)"
401201,NIAGARA,Royalton Hartland Cent Sch,WESTERN NEW YORK,58,16.80%,70,20.20%,128,37%,SCHOOL DISTRICT,54 STATE ST,MIDDLEPORT,NY,14105,"(43.2127, -78.4687)"
420702,ONONDAGA,Solvay Union Free School,CENTRAL NEW YORK,44,15.70%,60,21.40%,104,37%,SCHOOL DISTRICT,103 3RD ST,SOLVAY,NY,13209,"(43.0601, -76.2144)"
540901,SCHOHARIE,Jefferson Central School,NORTHEASTERN NEW YORK,6,11.10%,14,25.90%,20,37%,SCHOOL DISTRICT,1332 ST RT 10,JEFFERSON,NY,12093,"(42.4816, -74.6106)"
17,FULTON,Fulton,NORTHEASTERN NEW YORK,61,13%,112,23.90%,173,37%,COUNTY,,,,,"(43.06014, -74.331296)"
22302,ALLEGANY,Cuba-Rushford Central School District,WESTERN NEW YORK,27,16.10%,35,20.80%,62,36.90%,SCHOOL DISTRICT,5476 RT 305,CUBA,NY,14727,"(42.2385, -78.2748)"
110200,CORTLAND,Cortland City Schools,CENTRAL NEW YORK,109,22.60%,69,14.30%,178,36.90%,SCHOOL DISTRICT,1 VALLEY VIEW DR,CORTLAND,NY,13045,"(42.5885, -76.18)"
131500,DUTCHESS,Poughkeepsie City Schools,HUDSON VALLEY,90,14.70%,136,22.20%,226,36.90%,SCHOOL DISTRICT,11 COLLEGE AVE,POUGHKEEPSIE,NY,12603,"(41.693, -73.9172)"
280227,NASSAU,West Hempstead U F S,NASSAU-SUFFOLK,62,18%,65,18.90%,127,36.90%,SCHOOL DISTRICT,252 CHESTNUT ST,WEST HEMPSTEAD,NY,11552,"(40.6973, -73.6522)"
460500,OSWEGO,Fulton City Schools,CENTRAL NEW YORK,132,20.70%,103,16.20%,235,36.90%,SCHOOL DISTRICT,167 S 4TH ST,FULTON,NY,13069,"(43.3223, -76.412)"
511101,ST. LAWRENCE,Gouverneur Central School,CENTRAL NEW YORK,62,20.10%,52,16.80%,114,36.90%,SCHOOL DISTRICT,133 E BARNEY ST,GOUVERNEUR,NY,13642,"(44.3407, -75.4655)"
7,CHEMUNG,Chemung,FINGER LAKES,312,18.20%,320,18.70%,632,36.90%,COUNTY,,,,,"(42.116644, -76.812331)"
700000,N/A,Western New York,WESTERN NEW YORK,4251,17.10%,4900,19.80%,9151,36.90%,REGION,,,,,
90501,CLINTON,Northeastern Clinton Central School,NORTHEASTERN NEW YORK,29,16.70%,35,20.10%,64,36.80%,SCHOOL DISTRICT,103 RT 276,CHAMPLAIN,NY,12919,"(44.9907, -73.4134)"
180300,GENESEE,Batavia City Schools,WESTERN NEW YORK,93,16.20%,118,20.60%,211,36.80%,SCHOOL DISTRICT,39 WASHINGTON AVE,BATAVIA,NY,14021,"(43.001, -78.1863)"
470202,OTSEGO,Gilbertville-Mt Upton Csd,NORTHEASTERN NEW YORK,16,28.10%,5,8.80%,21,36.80%,SCHOOL DISTRICT,693 STATE HWY 51,GILBERTSVILLE,NY,13776,"(42.4419, -75.3457)"
580233,SUFFOLK,Center Moriches U F Sch,NASSAU-SUFFOLK,69,18.40%,69,18.40%,138,36.80%,SCHOOL DISTRICT,529 MAIN ST,CENTER MORICHES,NY,11934,"(40.8005, -72.799)"
590501,SULLIVAN,Fallsburgh Central School,HUDSON VALLEY,50,15.30%,70,21.50%,120,36.80%,SCHOOL DISTRICT,115 BRICKMAN RD,FALLSBURG,NY,12733,"(41.7326, -74.6113)"
62,ULSTER,Ulster,HUDSON VALLEY,733,18.30%,740,18.50%,1473,36.80%,COUNTY,,,,,"(41.848374, -74.099412)"
280224,NASSAU,Valley Str Hemp24 U F S,NASSAU-SUFFOLK,50,19.50%,44,17.20%,94,36.70%,SCHOOL DISTRICT,75 HORTON AVE,VALLEY STREAM,NY,11581,"(40.6539, -73.6921)"
550301,SCHUYLER,Watkins Glen Central School,FINGER LAKES,5,10.20%,13,26.50%,18,36.70%,SCHOOL DISTRICT,303 12TH ST,WATKINS GLEN,NY,14891,"(42.3751, -76.8666)"
580212,SUFFOLK,Longwood Central School District,NASSAU-SUFFOLK,288,15.90%,375,20.70%,663,36.70%,SCHOOL DISTRICT,35 YAPHNK-MID ISL RD,MIDDLE ISLAND,NY,11953,"(40.8773, -72.9413)"
180901,GENESEE,Elba Central School,WESTERN NEW YORK,11,10.90%,26,25.70%,37,36.60%,SCHOOL DISTRICT,57 S MAIN ST,ELBA,NY,14058,"(43.0753, -78.188)"
61501,CHAUTAUQUA,Silver Creek Central School District,WESTERN NEW YORK,33,17.20%,37,19.30%,70,36.50%,SCHOOL DISTRICT,1 DICKINSON ST,SILVER CREEK,NY,14136,"(42.5341, -79.1667)"
260401,MONROE,Gates Chili Central School,FINGER LAKES,151,18%,156,18.60%,307,36.50%,SCHOOL DISTRICT,3 SPARTAN WAY,ROCHESTER,NY,14624,"(43.1604, -77.7092)"
472001,OTSEGO,Richfld Springs Cent Sch,NORTHEASTERN NEW YORK,8,10.80%,19,25.70%,27,36.50%,SCHOOL DISTRICT,93 MAIN ST,RICHFIELD SPRINGS,NY,13439,"(42.8542, -74.9906)"
580205,SUFFOLK,Sachem Cent Sch At Holbrook,NASSAU-SUFFOLK,470,16.90%,543,19.50%,1013,36.50%,SCHOOL DISTRICT,245 UNION AVE,HOLBROOK,NY,11741,"(40.8119, -73.0847)"
4,CATTARAUGUS,Cattaraugus,WESTERN NEW YORK,575,18.40%,565,18.10%,1140,36.50%,COUNTY,,,,,"(42.224267, -78.606673)"
30200,BROOME,Binghamton City School District,NEW YORK - PENN,244,17.40%,268,19.10%,512,36.40%,SCHOOL DISTRICT,164 HAWLEY ST,BINGHAMTON,NY,13901,"(42.0989, -75.9044)"
